"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C703,C322,C601,C504,C108,C901,C325,C206,C502,C604,C507,C405,C319,C110,C335,C508,C404,C605,C323,C334,C333,C105,C606,C324,C336,C402,C201,C104,C331,C607,C103,C321,C106,C332,C329,C501,C505,C503,C326,C704,C701,C101,C602,C401,C702,C608,C107,C603,C327,C330,C506,C102,C403,C109,C320,C328";"C_Disc_D5.0mm_W2.5mm_P2.50mm";56;"0.1uF";;;
2;"R315,R310,R905,R902,R301,R311,R316,R303,R307,R305,R903,R313,R908,R314,R901,R306,R317,R312,R308,R304,R309,R904,R302,R906,R907";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";25;"10k";;;
3;"U503,U603,U402,U602,U504,U601,U604,U501,U502";"DIP-16_W7.62mm";9;"CD4051B";;;
4;"U401";"DIP-8_W7.62mm";1;"ADG419BN";;;
5;"C304,C316,C301,C305,C307,C205,C312,C318,C202,C308,C309,C313,C310,C302,C306,C315,C303,C311,C337,C317,C314";"C_Disc_D5.0mm_W2.5mm_P2.50mm";21;"1uF";;;
6;"L302,L303,L304,L501,L602,L601,L502,L301";"WE-UKW_74275010";8;"600R@100Mhz";;;
7;"U704,U901,U701,U702,U703";"DIP-16_W7.62mm";5;"74HC595";;;
8;"SW110";"PinHeader_1x02_P2.54mm_Vertical";1;"Preset";;;
9;"L201";"L_Radial_D10.0mm_P5.00mm_Fastron_07M";1;"150uH";;;
10;"C208";"CP_Radial_D5.0mm_P2.50mm";1;"220uF 16v";;;
11;"SW109";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_5";;;
12;"J316";"Jack";1;"FX_S_8";;;
13;"Disp101";"PinHeader_1x04_P2.54mm_Vertical";1;"~";;;
14;"J305";"Jack";1;"FX_R_5";;;
15;"U303,U305,U304,U307,U301,U308,U309,U302,U306";"DIP-8_W7.62mm";9;"TL072";;;
16;"R201";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.5";;;
17;"C209,C204,C211";"CP_Radial_D5.0mm_P2.50mm";3;"100uF 50v";;;
18;"J311";"Jack";1;"FX_S_3";;;
19;"U205";"TO-220-5_Vertical";1;"LM2576HVT-5";;;
20;"R101";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100";;;
21;"J201";"BarrelJack_CUI_PJ-063AH_Horizontal_CircularHoles";1;"Barrel_Jack";;;
22;"J315";"Jack";1;"FX_S_7";;;
23;"U201";"DIP-8_W7.62mm";1;"MC34063AP";;;
24;"L202";"L_Radial_D10.0mm_P5.00mm_Fastron_07M";1;"220uH";;;
25;"SW106";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_8";;;
26;"R202";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
27;"SW104";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_7";;;
28;"J302";"Jack";1;"FX_R_2";;;
29;"J314";"Jack";1;"FX_S_6";;;
30;"U101";"ESP32-S3-DevKitC";1;"ESP32-S3-DevKitC";;;
31;"SW107";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_4";;;
32;"J312";"Jack";1;"FX_S_4";;;
33;"SW102";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_6";;;
34;"D201,D202";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N5822";;;
35;"J317";"Jack";1;"Guitar_In";;;
36;"RV101";"Potentiometer_Bourns_3339P_Vertical";1;"500";;;
37;"J310";"Jack";1;"FX_S_2";;;
38;"J801";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Pin";;;
39;"J304";"Jack";1;"FX_R_4";;;
40;"D203";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5819";;;
41;"D101";"PinHeader_1x02_P2.54mm_Vertical";1;"LED_PWR";;;
42;"SW101";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_1";;;
43;"J313";"Jack";1;"FX_S_5";;;
44;"F201";"Fuse_Bourns_MF-RG500";1;"Polyfuse_Small";;;
45;"U203";"TO-220-3_Vertical";1;"LM7905_TO220";;;
46;"C210";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"470pF";;;
47;"J318";"Jack";1;"Amp_Out";;;
48;"SW103";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_2";;;
49;"J308";"Jack";1;"FX_R_8";;;
50;"SW105";"PinHeader_1x02_P2.54mm_Vertical";1;"Pedal_3";;;
51;"U202";"TO-220-3_Vertical";1;"LM7815_TO220";;;
52;"J309";"Jack";1;"FX_S_1";;;
53;"J306";"Jack";1;"FX_R_6";;;
54;"J307";"Jack";1;"FX_R_7";;;
55;"J301";"Jack";1;"FX_R_1";;;
56;"R203";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"11k";;;
57;"SW108";"PinHeader_1x02_P2.54mm_Vertical";1;"Program";;;
58;"J303";"Jack";1;"FX_R_3";;;
